timestamp,temperature_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_direction_deg,cloud_cover_pct,solar_radiation_wm2,precipitation_mm,dew_point_c,visibility_km,soil_moisture_pct,uv_index,feels_like_c,target_temperature_6h_c
2023-01-02 07,23.9494,92.1404,1009.6541,1.37,36.8753,60.8438,153.2061,0.0,22.5941,16.5974,41.662,1.2725,24.4965,27.3275
2023-01-02 08,24.4273,95.5868,1007.6874,2.6442,38.3854,77.6966,222.1732,0.0,23.6756,18.1784,41.4553,2.1524,25.0711,26.4794
2023-01-02 09,24.7791,,1007.055,2.6333,53.0794,76.3842,282.1379,0.0,24.0851,15.1898,41.0483,2.751,25.5744,25.8506
2023-01-02 10,24.3982,100.0,1007.3971,1.4506,65.9149,89.0759,305.8809,1.816,24.3982,15.5563,42.1507,3.0513,25.585,28.4525
2023-01-02 11,26.3132,92.428,1007.2114,3.3832,47.8814,79.9305,383.5403,0.0,24.9861,17.983,41.5496,3.5965,26.753,28.5599
2023-01-02 12,26.2581,95.9405,1008.0892,5.3432,53.9629,86.3901,,3.635,25.5583,15.893,43.9555,2.6796,26.9962,28.5954
2023-01-02 13,27.3275,88.1682,1007.8783,1.9295,52.2572,82.8202,383.7812,0.0,25.1956,18.7588,43.4285,3.2788,28.2584,27.2772
2023-01-02 14,26.4794,99.9264,1006.3124,4.6281,74.1892,100.0,127.2653,2.948,26.4669,13.7433,45.3797,1.2856,27.0059,25.991
2023-01-02 15,25.8506,95.601,1006.8847,4.2361,66.6871,75.8538,313.3334,13.626,25.0935,9.9305,52.487,3.163,26.3749,24.9358
2023-01-02 16,28.4525,89.5836,1009.5164,1.2213,75.884,73.7506,203.6998,1.049,,16.8302,52.8019,1.7563,29.1917,24.8491
2023-01-02 17,28.5599,81.1521,1010.1395,2.715,65.1559,51.0137,140.9762,0.0,25.0105,19.1069,52.109,1.3682,28.6349,24.7718
2023-01-02 18,28.5954,82.0776,1009.2033,2.9195,55.8307,60.9614,16.1701,0.382,25.2354,16.0058,52.0805,0.0,28.9041,24.1718
2023-01-02 19,27.2772,92.4225,1008.7245,5.2262,32.4864,75.9746,0.0,5.443,25.9397,16.1336,55.8606,0.1991,27.6326,23.9309
2023-01-02 20,25.991,92.4625,1008.5959,2.0723,27.1248,81.7883,8.7756,2.793,24.6734,13.9104,57.8237,0.0405,26.7676,22.8782
2023-01-02 21,24.9358,96.8148,1009.3292,2.2854,28.2365,81.5677,7.4923,1.429,24.3943,,58.6995,0.0,25.9351,23.1039
2023-01-02 22,24.8491,97.3739,1009.2729,2.8058,,66.5175,10.1594,1.796,24.404,16.1026,59.7493,0.0468,25.8188,23.5803
2023-01-02 23,24.7718,93.5076,1010.4531,0.9909,33.5251,57.5912,23.8701,0.0,23.6525,17.0489,59.2353,0.1448,,23.8372
2023-01-03 00,24.1718,86.7503,1010.9561,1.04,30.1848,41.4872,45.1101,0.0,21.8234,17.2327,58.9666,0.6949,24.7286,24.4462
2023-01-03 01,23.9309,93.4913,1010.2101,2.4558,24.7993,47.4241,4.3852,0.0,22.8157,15.8864,58.6663,0.0417,24.4489,24.1376
2023-01-03 02,22.8782,95.3448,1010.6952,1.3094,16.4129,35.4558,0.0,0.0,22.0936,17.2444,58.3919,0.2018,23.8328,23.6771
2023-01-03 03,23.1039,92.8567,1010.6956,0.2631,45.2007,25.1483,6.7052,0.0,21.884,16.615,57.99,0.0,24.0667,25.8731
2023-01-03 04,23.5803,85.354,1011.0579,1.2521,37.536,14.5272,24.6011,0.0,20.9779,17.0842,57.7254,0.3358,23.7894,26.7551
2023-01-03 05,23.8372,90.3848,1010.0489,0.7555,53.6086,19.7545,0.0,0.0,22.1668,16.4152,57.4693,0.0,24.6758,27.7036
2023-01-03 06,24.4462,85.034,1010.0823,0.6233,54.0261,12.7938,0.0,0.0,21.7654,17.8158,57.2672,0.0235,25.0069,28.3418
2023-01-03 07,24.1376,85.3085,1010.7841,2.5445,66.6269,15.9763,219.7411,0.0,21.5156,17.7302,56.9947,2.7824,,28.2567
2023-01-03 08,23.6771,90.333,1009.5303,1.6164,67.5734,48.4702,290.9062,0.0,21.9994,17.6298,56.3262,2.761,24.459,28.6249
2023-01-03 09,25.8731,85.233,1010.7418,2.5559,60.8683,12.2139,655.5149,0.0,23.2025,18.9348,55.6338,6.2602,26.2186,28.0906
2023-01-03 10,26.7551,82.8111,1010.5232,1.4222,71.4064,19.2846,728.5032,0.0,23.5878,17.6604,54.964,6.4236,26.9719,29.2441
2023-01-03 11,27.7036,81.4502,1010.8289,0.8345,65.1135,47.3479,631.6461,0.0,24.2375,17.3955,54.3939,5.9755,27.9722,28.8401
2023-01-03 12,28.3418,82.0133,1010.3393,1.6214,70.5009,47.8098,610.5728,0.0,24.9749,18.5827,53.6933,5.6674,28.4833,27.3841
2023-01-03 13,28.2567,88.4235,1009.7153,2.1478,68.2023,77.7223,391.3133,1.221,26.1591,17.9239,53.8561,3.3187,28.9132,27.3984
2023-01-03 14,28.6249,87.5826,1009.1318,1.9864,59.3702,79.8088,349.0815,1.537,26.3596,16.4129,54.4512,3.7165,29.2461,27.0483
2023-01-03 15,28.0906,90.8042,1010.0216,4.6718,54.1305,70.1666,297.4339,3.173,26.4452,16.0162,56.3304,2.4904,28.7288,26.8938
2023-01-03 16,29.2441,74.874,1011.3201,0.9915,65.1254,15.6064,417.4278,0.0,24.3264,18.4011,55.6359,3.8474,29.3177,26.7902
2023-01-03 17,28.8401,83.7746,1012.0522,1.1842,79.3671,19.7412,237.0069,0.0,25.819,16.6693,55.0194,2.6258,29.553,25.1362
2023-01-03 18,27.3841,87.0518,1011.5272,3.0163,99.179,51.1797,0.0,0.0,25.0373,17.496,54.6329,0.2738,27.8956,24.5902
2023-01-03 19,27.3984,89.5833,1010.998,2.3717,101.2839,55.6207,15.8421,0.0,25.5332,18.5926,54.0459,0.3181,28.4221,23.98
2023-01-03 20,27.0483,89.7208,1009.8731,0.5147,107.8662,68.3572,0.0,0.0,25.2137,17.4933,53.8109,0.4236,27.8262,23.9294
2023-01-03 21,26.8938,87.1004,1009.1058,0.5293,106.1668,41.6095,36.8209,0.0,24.5648,16.3193,53.6465,0.1135,27.7056,23.7222
2023-01-03 22,26.7902,84.2443,1010.2711,2.8789,107.4848,14.3704,44.9977,0.0,23.9072,17.7736,53.449,0.8324,26.981,23.54
2023-01-03 23,25.1362,87.1888,1010.7837,1.7028,105.7201,27.8764,5.5012,0.0,22.8541,16.773,53.1864,0.0861,26.1004,23.8268
2023-01-04 00,24.5902,87.2547,1011.9178,1.8903,99.0529,10.1877,0.0,0.0,22.3297,16.7399,52.9255,0.0161,25.3137,23.818
2023-01-04 01,23.98,85.9578,1012.9876,1.3717,90.9066,19.6103,0.0,0.0,21.4849,16.2871,52.6074,0.0,24.6574,25.2046
2023-01-04 02,23.9294,87.6173,1012.9899,2.6098,97.2658,0.0,0.0,0.0,21.7479,17.8333,52.2669,0.122,24.2072,25.4428
2023-01-04 03,23.7222,86.1735,1013.3464,0.5565,91.2127,0.0,23.436,0.0,21.2728,17.4759,51.9725,0.3889,24.0216,25.6015
2023-01-04 04,23.54,93.4173,1012.6658,2.6499,77.7454,42.5162,7.7209,0.0,22.4151,17.871,51.9341,0.0611,24.1789,25.9407
2023-01-04 05,23.8268,89.5684,1012.7121,5.7092,83.829,32.9593,0.0,0.0,22.0077,17.1671,51.8171,0.0615,23.8748,27.3641
2023-01-04 06,23.818,94.3601,1012.8007,3.0881,71.4688,44.6979,0.0,0.0,22.8564,17.2042,51.6514,0.0,24.475,26.8
2023-01-04 07,25.2046,86.7863,1013.4256,1.5006,59.8102,37.8159,165.2456,0.0,22.8449,18.5765,51.0587,1.9583,25.9703,27.8705
2023-01-04 08,25.4428,92.411,,2.2261,56.6779,41.4759,352.8801,0.0,24.1212,16.0796,50.4866,3.3735,26.0275,27.7386
2023-01-04 09,25.6015,90.0421,1013.5253,1.8836,39.1678,50.4688,429.2616,0.0,,18.3198,49.728,3.8675,26.2017,27.3688
2023-01-04 10,25.9407,94.7602,1012.265,2.9222,32.9072,83.4714,332.6965,2.243,25.0347,,50.935,3.2446,26.6031,26.7654
2023-01-04 11,27.3641,87.429,1012.9875,3.3122,17.9285,68.8368,424.516,0.0,25.0902,17.3292,50.5223,4.0251,27.7598,27.1903
2023-01-04 12,26.8,,1011.076,4.1567,359.0764,81.2933,344.3398,8.524,25.9894,11.5711,56.4994,3.3676,27.2844,27.382
2023-01-04 13,27.8705,82.822,1014.3599,3.409,357.6838,36.917,745.6605,0.0,24.6793,17.2719,55.5263,6.711,27.8032,26.5297
2023-01-04 14,27.7386,84.6606,1014.2964,1.1117,346.7219,35.433,636.1286,0.0,24.918,17.1229,54.9186,6.1228,28.4179,25.7671
2023-01-04 15,27.3688,83.3719,1015.2012,1.9185,344.7545,53.4384,417.3056,0.0,24.2997,16.5468,54.3788,4.1149,27.806,24.2915
2023-01-04 16,26.7654,90.5269,1013.8542,2.5667,326.707,69.5947,227.5122,1.156,25.0847,16.3503,54.8626,1.9909,27.4472,23.3123
2023-01-04 17,27.1903,85.9869,1014.2512,3.2399,338.9278,61.7594,165.9242,0.556,24.6408,17.1845,54.9995,1.9141,27.7101,22.4322
2023-01-04 18,27.382,86.77,1015.4483,1.3329,337.1367,36.1086,0.0,0.0,24.9809,19.8103,54.6643,0.0,27.7283,22.1432
2023-01-04 19,26.5297,85.9383,1015.557,4.6573,326.3563,36.1645,0.0,0.477,23.9832,16.9239,54.5109,0.0,26.665,21.6521
2023-01-04 20,25.7671,86.4229,1015.075,2.3972,316.5551,39.7967,18.6611,0.0,23.3281,18.9089,54.3425,0.3954,26.2979,21.1307
2023-01-04 21,24.2915,94.9711,1012.4805,2.5725,315.3374,72.0482,0.0,0.0,23.4334,15.4009,54.1208,0.1491,25.1252,21.439
2023-01-04 22,23.3123,96.7746,1013.2252,2.2217,313.8853,58.4667,0.0,0.973,22.7704,15.2112,54.4724,0.0,24.0316,22.1374
2023-01-04 23,22.4322,99.8086,1013.3918,2.4384,307.081,58.7745,0.0,3.079,22.4007,14.1253,56.3858,0.3598,23.2398,23.256
2023-01-05 00,22.1432,95.8932,1015.3443,5.805,305.8207,44.0134,12.5812,0.0,21.4566,16.778,56.0053,0.1827,22.3958,24.4241
2023-01-05 01,21.6521,98.0155,1015.7005,2.2435,305.7624,39.2674,0.0,1.184,21.3246,15.214,56.7494,0.2267,22.4253,25.5271
2023-01-05 02,21.1307,96.3855,1015.9373,3.966,288.5395,42.3507,0.0,0.383,20.5322,16.598,56.8426,0.0,21.6952,26.3586
2023-01-05 03,21.439,91.1838,1017.4956,2.5017,290.6466,0.606,0.0,0.0,19.9404,17.6359,56.284,0.0,22.0234,27.5452
2023-01-05 04,22.1374,91.9136,1017.1222,1.4113,276.1799,0.0,10.1907,0.0,20.7604,18.4712,56.0989,0.7521,22.6992,27.8181
2023-01-05 05,23.256,,1017.7099,1.2622,249.8076,0.0,12.6308,0.0,20.7139,20.0,,0.1949,23.6491,28.6489
2023-01-05 06,24.4241,84.2565,1016.3984,1.4979,239.8126,0.0,0.0,0.0,21.5935,19.0202,55.6137,0.381,25.0503,29.3619
2023-01-05 07,25.5271,83.9603,1017.268,1.9097,233.9162,0.0,227.0697,0.0,22.6152,18.4412,55.1463,2.2088,25.5696,29.6809
2023-01-05 08,26.3586,,1017.879,2.3751,225.5238,0.0,476.0446,0.0,22.265,17.9896,54.3842,4.9166,26.809,30.121
2023-01-05 09,27.5452,79.0242,,2.3001,224.2981,0.0,637.1218,0.0,23.5803,18.3386,53.6108,6.3414,27.7605,29.965
2023-01-05 10,27.8181,80.0956,1015.5513,1.9834,228.5446,38.0743,626.623,0.0,,17.0122,52.9045,5.9901,27.7497,29.9976
2023-01-05 11,28.6489,81.524,1014.6473,1.7713,229.606,30.6704,757.6103,0.233,25.1738,17.7719,52.3705,7.6881,28.8995,29.9125
2023-01-05 12,29.3619,78.0204,1016.2178,1.1783,221.717,24.9138,798.9833,0.0,25.1293,18.9476,51.5862,8.0701,29.875,29.5339
2023-01-05 13,29.6809,75.5933,1015.6697,3.6899,226.3101,41.8346,694.315,0.0,24.9077,17.3212,50.738,6.3102,29.5352,28.1404
2023-01-05 14,30.121,78.4041,1016.1625,3.7023,230.818,37.1917,604.3235,0.0,25.9477,17.7798,50.0958,5.8734,30.611,27.4501
2023-01-05 15,29.965,82.2861,1015.1676,1.8101,245.3804,49.4208,463.2377,0.0,26.6143,17.4426,49.5534,4.3345,30.8259,25.2867
2023-01-05 16,29.9976,78.1203,1014.033,1.6172,241.9444,31.296,443.4649,0.089,25.7669,16.5483,49.0127,4.38,30.311,24.9316
2023-01-05 17,29.9125,76.9729,1013.8868,2.2776,237.621,45.6216,162.9076,0.0,25.4352,16.769,48.5441,1.1707,30.2148,25.1957
2023-01-05 18,29.5339,79.5701,1014.5362,2.2266,234.5565,47.5929,0.0,0.0,25.6269,16.6871,48.0815,0.0,30.0446,25.0955
2023-01-05 19,,82.4363,1015.1945,1.4818,229.6817,57.1223,0.0,0.0,24.8646,18.0305,47.7731,0.0,28.6422,23.8497
2023-01-05 20,27.4501,84.3178,1014.421,2.3425,241.7117,46.3858,28.0557,0.0,24.5677,19.5005,47.2511,0.1911,27.6938,22.4069
2023-01-05 21,25.2867,97.0089,1012.0295,3.1823,243.2624,64.8965,17.9856,2.708,24.7773,14.8901,49.178,0.6196,26.0964,23.6125
2023-01-05 22,24.9316,92.126,1011.1057,4.0536,239.6181,69.1941,0.0,1.253,23.5638,16.6821,49.7304,0.0,25.2911,25.4201
2023-01-05 23,25.1957,89.1079,1012.5424,1.499,227.7562,36.8182,0.0,0.0,23.2726,19.0218,49.6023,0.0,,26.166
2023-01-06 00,25.0955,92.0607,1013.026,3.7709,233.404,37.7986,13.1657,0.0,23.7142,17.8107,49.3664,0.2722,25.5267,26.1503
2023-01-06 01,23.8497,97.978,1011.8529,2.6202,221.2374,74.7401,0.0,0.761,23.5105,16.6451,49.7539,0.0,24.8029,26.2062
2023-01-06 02,,98.8504,1011.4588,2.2393,224.9132,74.0582,0.0,3.415,22.2169,15.7778,51.8752,0.1754,23.1721,27.7687
2023-01-06 03,23.6125,100.0,1011.0642,1.8839,226.0756,90.5843,39.1388,0.0,23.6125,19.3018,51.3887,0.0845,,29.1353
2023-01-06 04,25.4201,91.4445,1012.044,1.0147,204.7154,48.82,11.025,0.0,23.9237,17.1244,51.0382,0.0,26.119,30.0397
2023-01-06 05,26.166,87.0284,1012.248,2.541,187.7703,45.7056,5.9069,0.0,23.8358,17.8645,50.6397,0.156,26.4331,30.331
2023-01-06 06,26.1503,86.1856,1011.2914,3.6384,175.1472,33.1886,44.137,0.0,23.6587,17.2486,50.4524,0.6467,26.3511,30.6261
2023-01-06 07,26.2062,85.1093,1012.2877,1.5777,170.6546,45.3804,175.9164,,23.5049,19.3787,50.195,2.0728,26.734,29.8503
2023-01-06 08,27.7687,81.9508,1012.5182,0.683,162.0352,19.3324,423.5116,0.0,24.4032,18.7508,49.6835,3.613,28.0661,28.5463
2023-01-06 09,29.1353,77.6919,1013.0747,1.4117,165.9537,13.6039,590.0956,0.0,24.8389,16.2712,48.8201,5.3327,29.5107,28.6521
2023-01-06 10,30.0397,71.491,1014.1248,0.7136,170.1055,14.7637,725.28,0.0,24.3197,15.9523,48.0377,6.675,30.6363,30.0848
2023-01-06 11,30.331,78.5495,1013.5366,2.1977,171.5587,42.4586,648.1775,0.0,26.1827,17.6006,47.3563,6.5548,30.4603,29.9821
2023-01-06 12,30.6261,82.3792,1013.3372,2.5166,167.4202,49.351,657.7982,0.0,27.2785,18.5878,46.5805,6.3516,30.8409,28.7219
2023-01-06 13,29.8503,85.6086,1012.5004,3.3149,163.0505,71.1848,429.9137,1.308,27.1754,16.4527,47.0153,3.9997,30.4235,28.0823
2023-01-06 14,28.5463,91.9775,1012.2249,3.7687,160.0399,69.9822,421.2851,1.884,27.1139,16.9001,47.9328,3.8291,29.0347,27.5645
2023-01-06 15,28.6521,90.9816,1011.7536,3.0031,142.1413,81.08,251.3819,1.13,27.0331,14.7818,,2.5384,29.466,26.3811
2023-01-06 16,30.0848,76.2146,1012.9159,1.1727,120.9487,12.0552,426.1023,0.0,25.4352,18.3699,47.7219,4.2265,30.4283,25.4944
2023-01-06 17,29.9821,77.3208,1013.6504,0.603,128.7768,9.7757,236.6282,0.0,25.5784,19.1958,47.2239,2.2655,30.4057,24.9075
2023-01-06 18,28.7219,79.1477,1013.4551,1.3582,99.9892,56.6212,18.946,0.0,24.7489,18.1512,46.8291,0.4807,29.0897,24.5157
2023-01-06 19,28.0823,81.868,1014.9412,2.6196,105.5335,39.7494,62.8434,0.0,24.6921,19.54,46.2597,0.5472,28.4177,24.2314
2023-01-06 20,27.5645,88.7779,1013.8553,4.2347,97.9572,46.461,0.0,0.0,25.5448,18.1973,45.8568,0.2007,27.8906,23.8383
2023-01-06 21,26.3811,88.0583,1013.5011,1.3516,107.1975,52.6716,12.3986,0.0,24.2432,17.8961,45.5494,0.0,27.0131,23.2929
2023-01-06 22,25.4944,86.3498,1012.2599,,105.7301,44.36,46.1373,0.611,23.0463,17.7711,45.8317,0.7636,25.9537,23.4463
2023-01-06 23,24.9075,93.0808,1013.0619,2.0513,112.4323,38.4066,,0.0,23.7111,18.686,45.5501,0.0,25.7631,23.9829
2023-01-07 00,24.5157,93.29,1011.8448,1.8396,111.9638,58.7303,0.0,0.0,23.36,17.1662,45.3896,0.3909,25.2868,23.9154
2023-01-07 01,24.2314,88.7461,1011.6297,1.3743,124.2365,39.4798,2.9316,0.0,22.2552,16.8438,45.1001,0.2826,24.7944,24.3298
2023-01-07 02,23.8383,91.3147,1010.8812,1.3982,146.8116,58.274,0.0,0.0,22.3361,18.7723,44.8948,0.079,24.5839,25.2538
2023-01-07 03,23.2929,94.7761,1009.7483,1.0171,130.1595,65.4619,0.0,0.0,22.4074,15.4518,44.5962,0.0,24.3073,25.1826
2023-01-07 04,23.4463,94.8462,1008.7765,1.6054,152.0375,67.7227,0.0,0.0,22.5719,17.3305,44.4298,0.0,24.2814,26.1
2023-01-07 05,23.9829,94.8197,1009.3725,4.2774,171.0556,57.3375,10.3401,0.0,23.1004,17.7228,44.3199,0.3702,24.2566,27.1985
2023-01-07 06,23.9154,96.9791,1007.9559,0.837,166.1117,72.5555,37.685,0.0,23.4061,16.9861,44.2317,0.4053,24.6659,27.7204
2023-01-07 07,24.3298,90.7808,1007.0365,1.5691,169.5308,65.0092,175.6329,0.0,22.7253,15.8917,43.9409,1.8408,24.9789,28.1245
2023-01-07 08,25.2538,91.9072,1007.5816,5.595,,78.6452,161.827,0.0,23.8432,17.059,43.7395,1.645,25.4062,28.7906
2023-01-07 09,25.1826,96.704,1006.3411,5.1223,198.2334,100.0,147.2855,0.313,24.6209,18.09,43.4719,1.5799,25.8728,29.2558
2023-01-07 10,26.1,89.2658,1008.0171,2.8488,214.9538,62.9701,438.9411,0.243,24.1934,17.6966,43.2747,4.0475,26.9648,28.5304
2023-01-07 11,27.1985,88.0798,1007.5431,1.9519,207.3827,58.9316,541.0172,0.0,25.0518,17.0411,42.6638,5.4298,27.7382,29.0591
2023-01-07 12,27.7204,82.9912,1007.3432,4.4014,191.4863,64.0084,509.4334,0.0,24.5668,16.6519,41.9868,4.4654,27.6965,27.7376
2023-01-07 13,28.1245,77.7432,1007.6946,2.0069,181.5751,50.1012,575.9497,0.0,23.8707,18.119,41.2199,5.4237,28.139,27.3977
2023-01-07 14,28.7906,86.6545,1006.539,1.1121,191.2335,70.4132,399.7667,0.0,26.342,19.7424,40.7397,3.9621,29.4388,26.7104
2023-01-07 15,29.2558,87.6721,1006.7739,1.5734,192.5068,77.7738,258.0223,0.0,26.9974,18.3066,40.3272,2.3073,30.0149,24.5412
2023-01-07 16,28.5304,,1006.4301,2.0433,200.9179,92.5544,182.1624,1.833,27.3173,15.8683,41.3948,1.6925,29.3787,23.1186
2023-01-07 17,29.0591,86.7317,1007.116,1.8578,210.4673,83.7758,51.2027,0.0,26.6207,17.2534,40.9961,0.0578,29.9012,23.5664
2023-01-07 18,27.7376,92.1507,1004.6747,7.8024,194.4147,100.0,1.0541,0.893,26.3456,13.6676,41.2217,0.0,28.01,23.3029
2023-01-07 19,27.3977,90.8448,1007.109,1.7877,191.1184,92.7787,0.7946,0.0,25.7682,18.5199,41.1886,0.2105,28.1235,21.5996
2023-01-07 20,26.7104,90.0012,1008.0187,,200.5927,99.753,37.1032,0.0,24.9327,19.2034,40.9887,0.6553,27.3737,22.7548
2023-01-07 21,24.5412,100.0,1008.8868,2.8009,196.4075,76.2552,0.0,8.173,24.5412,13.3119,46.9793,0.1447,25.5161,22.5744
2023-01-07 22,23.1186,100.0,1006.0656,5.2549,204.6197,95.1795,0.0,9.65,23.1186,11.1564,54.1918,0.0036,23.6954,21.6187
2023-01-07 23,23.5664,93.8657,1007.7917,2.6781,198.3721,83.1975,4.189,0.071,22.5201,18.1509,53.82,0.1728,23.9054,22.726
2023-01-08 00,23.3029,97.148,1008.3299,6.5008,216.915,81.6608,0.0,0.0,22.8246,16.1729,53.7801,0.0,23.5306,23.101
2023-01-08 01,21.5996,100.0,1007.7438,1.5357,181.5627,94.9397,0.0,1.139,21.5996,14.1714,54.2769,0.2833,22.8733,22.9532
2023-01-08 02,22.7548,98.9478,1007.4335,5.1236,184.657,76.7284,19.3495,0.0,22.5805,17.2679,53.8006,0.4316,23.0308,23.2405
2023-01-08 03,22.5744,97.2956,1008.0364,1.6497,180.3971,90.4444,5.2428,0.0,22.1236,16.7386,53.3543,0.0,23.4448,23.9113
2023-01-08 04,21.6187,100.0,1005.2557,4.4026,179.5768,100.0,0.0,8.297,21.6187,11.4726,59.3764,0.0,22.2832,25.3085
2023-01-08 05,22.726,99.0737,1006.0741,2.3563,181.5837,87.0969,10.9996,0.229,22.5727,17.6019,59.3115,0.2195,23.6428,25.6242
2023-01-08 06,23.101,100.0,1005.5207,2.6041,173.2971,93.7016,0.0,1.664,23.101,16.0268,60.4616,0.0,23.9491,26.9067
2023-01-08 07,22.9532,97.473,1004.9214,2.3688,182.0689,99.8005,32.1853,0.379,22.5311,17.6498,60.4625,0.1863,23.5495,28.0684
2023-01-08 08,23.2405,100.0,1006.4396,2.0935,174.6752,97.7216,79.6079,4.845,23.2405,14.6716,63.763,0.6964,23.986,29.0569
2023-01-08 09,23.9113,100.0,1004.7454,3.5723,175.1475,94.3611,201.4544,12.948,23.9113,11.2608,70.6654,1.6426,24.5566,29.6946
2023-01-08 10,25.3085,87.6248,1006.7501,3.6468,180.7967,77.8958,363.0756,0.23,23.1059,19.2217,70.3844,3.5011,25.575,29.1688
2023-01-08 11,25.6242,93.429,1007.3499,3.9734,172.4358,70.9534,481.6339,6.892,24.4838,14.0526,74.8101,4.707,25.8618,27.5185
